function:(p1*x)^0.35076971,average_MSE:0.05433583355654934
name,p1,MSE
job_00236,3.344166485686981,0.035909515702715764
job_00237,3.176750683646075,0.022163413200136872
job_00241,3.410032192142918,0.045337279406228066
job_00242,3.634308974413709,0.005664096768078313
job_00243,2.980568880618537,0.014430663752627304
job_00244,3.6624380972288857,0.02312976474748764
job_00246,3.5891986166768413,0.008028898715187133
job_00248,2.966888614948488,0.020179369737283508
job_00249,4.029179748633967,0.0192001009283524
job_00251,3.301498719616172,0.019308016255118018
job_00253,2.8735936302779743,0.011534141573411299
job_00254,3.853186290894818,0.018550334399117442
job_00255,2.9164450802571253,0.018638596160883338
job_00257,3.6192596976860147,0.04692325867415554
job_00258,2.784555255116844,0.009855849805641642
job_00260,5.57841353614653,0.40052741067476055
job_00262,2.922775916770028,0.01291042238975228
job_00264,3.160260204621897,0.016062072417365406
job_00265,3.189283639093813,0.020620403990287188
job_00266,4.12065113756067,0.05417724801288636
job_00267,3.567111919802946,0.09992786632638481
job_00269,3.205698938124672,0.015069822508440734
job_00270,3.250371669910834,0.020775422449407333
job_00271,3.610996447861467,0.06375124124145799
job_00272,3.180819434917718,0.011672085460819784
job_00273,3.05951438611876,0.014348973140961906
job_00274,5.540279724972294,1.2522307273083875
job_00291,3.188703494652865,0.05351179304261126
job_00292,3.5255290382708724,0.0028541152543892084
job_00293,3.137482754940293,0.019435139920965065
job_00295,3.128882934155037,0.02081521122379973
job_00296,3.013629972711254,0.013975196889077642
job_00297,3.2254902674601373,0.022956565465512765
job_00298,3.328474848428955,0.03909122237375206
job_00299,3.322478648540394,0.057583897405009625
job_00300,2.823483009103588,0.009412442074748286
job_00302,3.0206586640987565,0.022399424774992183
job_00303,3.1033045068596445,0.007483937685463623
job_00306,3.41945442015858,0.012395632170745761
job_00307,4.253118684410804,0.030193959590089116
job_00308,2.675401734218463,0.014819429371630354
job_00309,2.9675955862179153,0.016070124411004732
job_00311,3.4727324605082837,0.013057546591561024
job_00312,2.9242541993427418,0.017515170104045484
job_00313,5.809110503228491,0.37786099127313444
job_00314,2.8238143703367653,0.010043711031434737
job_00315,3.078982261590117,0.016055315375007036
job_00316,3.16848758421237,0.014347061643645747
job_00317,3.1484156210062095,0.012481834559734714
job_00318,3.911138678796822,0.04208868740441062
job_00319,3.007579476395808,0.015341494963724098
job_00320,2.713316650536671,0.01936066444390209
job_00321,3.2435116788176224,0.043616441332046806
job_00322,3.2620692802025073,0.02432506796324204
