function:(p1*x)^1/3,average_MSE:0.07513390737917766
name,p1,MSE
job_00236,4.953938279418419,0.09260222180655293
job_00237,4.696392955667093,0.00310315681189893
job_00241,5.056546261003858,0.10560396795541126
job_00242,5.408603462352048,0.03439392387707948
job_00243,4.3913740563395,0.004090279879597189
job_00244,5.454593348547816,0.008136783692986104
job_00246,5.338804495460864,0.017650702983504053
job_00248,4.370404026736289,0.004060659229156288
job_00249,6.027775367609651,0.07025417510645524
job_00251,4.890486835915938,0.0038056865976463495
job_00253,4.22544303166645,0.007243967003951324
job_00254,5.751712669679102,0.05282596830584375
job_00255,4.292260448053652,0.0023505423230043513
job_00257,5.38344715734024,0.11190678482908838
job_00258,4.087736936248316,0.006781076913578869
job_00260,8.480750193931202,0.6210573877463003
job_00262,4.301810487027004,0.0028810697475145923
job_00264,4.670426988570836,0.004622315995618791
job_00265,4.7158208616665265,0.003215927862886567
job_00266,6.170339724724677,0.13927572984089834
job_00267,5.300545898863321,0.19427925436203966
job_00269,4.7410962416544935,0.004039854982989941
job_00270,4.8109434350601115,0.002598852003961521
job_00271,5.371182492810587,0.11334600787521933
job_00272,4.700946279134361,0.03504960789960362
job_00273,4.512066901913122,0.04714622311837749
job_00274,8.415070733450332,1.5638787950176154
job_00291,4.71171339096658,0.11262972137858838
job_00292,5.238838981890893,0.02046471801644352
job_00293,4.635217445889799,0.003094963524947013
job_00295,4.621915468136915,0.002902046437373806
job_00296,4.442663083730135,0.0031601815474922397
job_00297,4.772255815385738,0.003486616676839655
job_00298,4.930046932509154,0.08226826280734113
job_00299,4.920355996078149,0.10883575506747226
job_00300,4.148026673623865,0.003005973151977397
job_00302,4.453941972354869,0.0024521802106373444
job_00303,4.5814139399169855,0.0077446253392518295
job_00306,5.073997878306789,0.008752280820538121
job_00307,6.380047070665114,0.09997286029128279
job_00308,3.9196434517761616,0.002914649272539615
job_00309,4.3713572047076115,0.0034429312423198124
job_00311,5.155971175481819,0.038411604232790594
job_00312,4.304289758591318,0.0028146592739916373
job_00313,8.851022292971955,0.5891129390619043
job_00314,4.148473542161236,0.005266289615851618
job_00315,4.544161421763205,0.003626410118795025
job_00316,4.6832449995376635,0.0023554664412567304
job_00317,4.651674936866934,0.009071296739136947
job_00318,5.841223981188813,0.11130880181652339
job_00319,4.433368228158832,0.0023287924525639296
job_00320,3.978363913299083,0.001139518291162433
job_00321,4.796964506984598,0.10366698387805656
job_00322,4.829187120016429,0.005571647809450883
job_00323,4.016415066721999,0.00232357345640406
job_00327,5.8501864390249265,0.023076074564104238
job_00329,4.085556846322909,0.0027499722969079434
job_00330,4.97260257016612,0.005485591012471884
job_00333,4.615569466460685,0.005964057494595044
job_00336,8.48217819135244,0.5676789345043335
job_00338,6.298736452811101,0.04675346061680577
job_00340,5.697297312268557,0.010033168926936646
job_00341,4.305829167836671,0.0016788641680016041
job_00342,4.794804429016238,0.0033998363442853067
job_00343,5.53933201650888,0.07502576747843732
job_00344,4.57737802746685,0.019426393716953108
job_00345,3.8790321960582217,0.0016242576268564895
job_00347,3.9616442814460076,0.001234625548234727
job_00348,22.148916543425617,3.709031444621522
job_00349,22.764749353870858,3.6342265221689067
job_00359,4.750884782184036,0.01007340659500763
job_00360,8.534295181296935,0.5801722031112033
job_00361,5.697857450766096,0.11607109414566161
job_00366,5.251682536520091,0.005438368564886299
job_00372,5.138155269759572,0.061882118463532074
job_00373,5.5616403721814605,0.009886093313996995
job_00375,4.959939622783952,0.08294490784361941
job_00377,4.475070433284284,0.0038183493923146486
job_00378,5.1744395123213405,0.008349631538441997
job_00380,5.872360585955708,0.009041809908731182
job_00382,4.653800928570241,0.009297130121518634
job_00383,4.225113256751773,0.007517004114520238
job_00384,4.482019290271581,0.003672669676099642
job_00385,4.512001757524368,0.006498285212465946
job_00386,3.869937000752258,0.0017772043251454246
