name,a,b,c,p,RMS,std_dev_abs_diff,max_abs_difference
job_00142,0.4391744556346653,0.06921472934648086,1.1685642746008333,0.6974193199815341,0.05072449986410292,0.033066595445591034,0.8532408150188537
job_00143,0.5241441317772236,0.5202820487830341,0.6907958478609508,0.45494898047692445,0.02787472002224291,0.02031553390088924,0.34100381943974223
job_00145,0.4661032288082357,0.5024502470028241,0.6808649468052237,0.44902821021620415,0.02910582840784591,0.02196642536998469,0.3935665241889401
job_00147,0.4691055198730702,0.45648628088956744,0.710329890619932,0.4705775823301737,0.027262609249109865,0.021130002290254992,0.4361081992373623
job_00149,0.40295001320804197,0.6713365300019628,0.5543153108736423,0.4189316065607496,0.0330564676977543,0.020363733366306654,0.28752345678999514
job_00152,0.16324727336293676,0.04432346617140494,1.3317818427454111,0.7503228351533313,0.09923684774873008,0.06197452204113874,1.1543492604656582
job_00153,0.1190427618571433,0.08912992754717597,1.3049067169769368,0.7307092230401839,0.0668170530608455,0.04984121273690319,1.1537073105956808
job_00154,0.2732257614328228,0.959093650812594,0.3557837614457438,0.3815941200098123,0.034251770021677314,0.02718175677443554,0.2812848558098662
job_00155,0.3740426043186278,0.6087929228749533,0.6413607911518977,0.4285734234639107,0.030101078126611547,0.024706500856079647,0.3791044728064188
job_00156,0.57147770534317,0.5481388259412737,0.5903285467364484,0.44013704604828247,0.03236733270023271,0.023781910834655737,0.2483344039603359
job_00157,0.28061400374458667,0.717347623695465,0.5781378872816553,0.4120811043254531,0.02865199772086618,0.021375948767262256,0.36380837255994825
job_00159,0.7069539284303962,0.33852339119979813,0.7081703122280985,0.4988519129398031,0.0235722210046549,0.019155121840250325,0.3161226803698056
job_00160,0.34736869589779473,0.028005013023485275,1.2755843237184528,0.8363990676517825,0.06964123974242334,0.040773261521853246,0.9865662910787198
job_00162,0.2876726076433138,0.894021044321816,0.44346583238047144,0.388385590763482,0.07978169223602816,0.045284764892444034,0.2844120517507245
job_00164,0.6626941115738808,0.40479288269108943,0.6728527412786024,0.47492466076139267,0.023471471371264034,0.01988062727042105,0.29442300573502966
job_00165,0.604625362756024,0.11082499872550595,1.0631936226709437,0.6586626735939326,0.03391621716673328,0.02944047979128933,0.64652963851847
job_00166,0.6012029468441444,0.10820133837920487,1.0690274543225817,0.6615837951999513,0.033888651653844463,0.029635964732542527,0.6526457147766507
job_00169,0.6914342272773095,0.156636865427936,0.9230088846341079,0.6089384007166581,0.03438536228221544,0.02296280409347616,0.5138489072947545
job_00173,0.3937119007608059,0.7089524209273226,0.5341777836381566,0.4130506233183677,0.03335454119702734,0.023927960435078124,0.2596856783118715
job_00176,0.6018869145189493,0.43792505951185584,0.6890290306003032,0.4684867397275069,0.042107087356060814,0.02560848862715733,0.3217980259691948
job_00177,0.6543935481105803,0.4586537716316469,0.6160299409336089,0.4600759056912003,0.0272942053467542,0.02028702440954042,0.24844268025777283
job_00178,0.4224183493618294,0.7128262681701957,0.4821164170464777,0.41145437607179347,0.020109012989228785,0.01726911606408144,0.22683538246797474
job_00179,0.5186314002879985,0.6482138103129003,0.5284586178368672,0.4258543416148607,0.04423309020586919,0.028286465140569175,0.2734721837523737
job_00180,0.05937861377630978,0.49802114804324515,0.9099962482636179,0.4523888983244217,0.0646338009082818,0.0384086835165534,0.8047702381804451
job_00182,0.10281092142036771,0.3798428692516079,1.0055624461209913,0.4832562592925983,0.0698619705441825,0.04117464558666353,0.8795062093280245
job_00186,0.4724455677843918,0.0862666703110998,1.2475422565730259,0.7241656052451144,0.06937417839093732,0.05596563478170112,0.8033077619045084
job_00188,0.4200361493171245,0.5590432856518653,0.6494037863251739,0.43824068579049125,0.03537419459381727,0.022072971369730455,0.38338056503101015
job_00191,0.3388321810543112,0.819362529557836,0.45193662996657213,0.40648836350757966,0.03888931919266108,0.030545472354448246,0.25573548503322563
job_00193,0.4639488121835115,0.1219206520545384,1.0856822459216635,0.6870008840777937,0.05034977477947852,0.034697419890625435,0.77607053576195
job_00194,0.48159080322535147,0.16140547766535107,1.0182011296393552,0.6468956649780063,0.04603276117304161,0.034316182011968,0.7188837191092974
job_00195,0.47694472800374194,0.29524162654285174,0.9290742246829296,0.5183687356781969,0.054738262897813875,0.033305934402730525,0.5898636454534063
job_00197,0.7606510781268817,0.21228801946589634,0.8478637509068663,0.571601473188033,0.03747364313666528,0.028989601457443916,0.38871090240722195
job_00205,0.5156197105784801,0.5634358309434085,0.608720309230241,0.43952367071241205,0.04265887176776412,0.0290597488089883,0.2830344584781115
job_00207,0.4666261746383673,0.5088613614362228,0.6679496295602011,0.44733994413573946,0.025281928244266283,0.018983912382348995,0.3865924639254098
job_00212,0.683949941584782,0.18896955807802976,0.9161690115341588,0.5747986360083769,0.0383183302467833,0.027803587340410472,0.4892005003371883
job_00214,0.09123987047361727,0.7584113815987792,0.6711128007586252,0.4079759796245838,0.02994729479195575,0.02621716168541208,0.5122887479276035
job_00215,0.7594734630288624,0.15640697495451225,0.9513678797203303,0.6438934084154292,0.05459497658687041,0.03830301897732189,0.44583956201662533
job_00216,0.35370043101777887,0.6149264839629373,0.6166134496080398,0.42585708032930225,0.03088494281996415,0.02265624833092505,0.39353308501928397
job_00217,0.12781133127105293,0.20087745864199952,1.1850863356876211,0.5595249488781446,0.07841420572745426,0.04643528471744302,1.0332412100869477
job_00218,0.6600478493155516,0.11063327134948256,1.0248967642289488,0.6475512364729068,0.05305844896418166,0.030552453094637097,0.5910288793349658
job_00220,0.5716717639793268,0.1887570488968168,0.9588247348545923,0.5822231885847978,0.03803266212507068,0.028345047885205022,0.6013711871238563
job_00221,0.32249395563617034,0.4755684098383662,0.7851095382674287,0.45563103566128516,0.040291980870047074,0.025608342978259344,0.5637976345254636
job_00223,0.2656380962205903,0.8166962954297222,0.47988764690815366,0.3951753626356967,0.0243156847056927,0.019634215612736133,0.2798556083496875
job_00224,0.1752794215180885,0.9503285938078493,0.43528191796940785,0.3828066432689583,0.030490937669171863,0.021386313993232334,0.24003359173225247
job_00225,0.44610256496206885,0.525784859877751,0.6884697136559222,0.4468532173732958,0.02867394678358234,0.022808622259795866,0.38960257516018015
job_00226,0.37554231049929904,0.5625814495723116,0.6690383637083867,0.4436320001822763,0.023825132102711002,0.018706288661423785,0.42362623992838944
job_00228,0.6417592096780429,0.18943736600086825,0.9256399039005541,0.5678567142630536,0.03994837595011006,0.025066141681834447,0.5305234243210889
job_00229,0.3466127616357967,0.6509202518559155,0.5862849395971332,0.42865777387791726,0.032636439074231305,0.023352928622495123,0.36430698650828774
job_00230,0.7183247431121927,0.1632201597434983,0.9067165770398135,0.6048756305518298,0.050910791691595784,0.02806057310039056,0.480305097144309
job_00231,0.4162010227163043,0.4627493837383173,0.7455370768508534,0.46119801707145297,0.05000834600195559,0.030551925540269396,0.4828195935453783
job_00234,0.5488769841602955,0.371628903566934,0.7965552483473263,0.485579249968945,0.05453922629715638,0.03392035413473642,0.4415041122727704
job_00235,0.37081010524280605,0.8010192595440673,0.4391491532421616,0.40496468265508717,0.03292862244112345,0.024760749261940534,0.24782985743073116
job_00236,0.6425611296811886,0.15752435763624456,0.9443626995597321,0.6072461452168166,0.038827023011990106,0.024982651032870833,0.5618945126825667
job_00237,0.3356013980362949,0.7568979594633783,0.550271441717073,0.4074431031001053,0.04537633539927367,0.03715722619595724,0.30973239874644687
job_00241,0.7131179746443255,0.1243701778192635,0.9902432912847914,0.6384333594904822,0.03641461557559125,0.028372623342742143,0.5245118475364111
job_00242,0.47722906583430014,0.406227373672835,0.7708846754717776,0.49092095778333655,0.03732770953311505,0.02482244304531046,0.4786935604928648
job_00243,0.4782157862328664,0.6529102172856018,0.5469715192985211,0.42378139987831376,0.04896197750383331,0.033323991293030555,0.25805191170316233
job_00244,0.13209224791436658,0.4070268262530377,0.9622813332279992,0.47577734889070633,0.0625328535317532,0.038919773557122304,0.8227009258325957
job_00246,0.3649970215012358,0.287131528506226,0.9683000344564685,0.523195095707398,0.04821260545466807,0.030713302456964478,0.7092714499925381
job_00248,0.4368658298136526,0.642094762146887,0.5809358800614964,0.4231671261527613,0.05426177227339042,0.03121606733322254,0.2826194080394604
job_00249,0.580866294956105,0.32774272355840206,0.8394155216029516,0.5244899423632069,0.0474721039780663,0.036433126921784464,0.4530309814854929
job_00251,0.34651855241981416,0.6697213447789514,0.624176683709406,0.42205421009864763,0.04846748097704325,0.03384617886856074,0.34552010280123446
job_00253,0.6656928015810792,0.39260087609124367,0.7039424932464737,0.4796447606157332,0.04470719982801047,0.030976054073114906,0.30377632232767704
job_00254,0.21744554885650677,0.11379379717357141,1.2470580372046864,0.6410078193782349,0.05672460969298104,0.042505533457532586,1.0311606539699218
job_00255,0.2227525789833818,1.0248670189398947,0.3390085023501336,0.37535768452972246,0.04404858183191853,0.03366572046743181,0.2991230140260819
job_00257,0.6757419028232683,0.14432806596799763,0.9879053065903123,0.6227029756156722,0.04100880786097426,0.028499202964983372,0.5416600312087342
job_00258,0.676369286591815,0.3769125959048093,0.7003728239111077,0.4834454981104421,0.03141779258151595,0.022368806881896477,0.3085981175033756
job_00260,0.5028068185661816,0.1354158954526993,1.0704754720412297,0.6699340948950269,0.04938391336419818,0.03248800379559439,0.7239672859811191
job_00262,0.4271617081340453,0.5647982604358772,0.6268773663051275,0.43733116675532746,0.029131846947735057,0.023557382932024497,0.3699800314300774
job_00264,0.37613605678350764,0.431811301013192,0.7993656721219868,0.4674347219072375,0.04165018873767557,0.02480439663503473,0.5541726422033004
job_00265,-0.4134365177262833,1.4750745774339529,0.24713860305074703,0.33999561103417536,0.030719735090389527,0.023611660094660092,0.30046194029233053
job_00266,0.5136685916934783,0.3651836103065836,0.7539515077685667,0.5196307859119449,0.03686533645200545,0.023702414884432456,0.48299779799993803
job_00267,0.7323453067798994,0.12942453973876725,0.9380900164036717,0.6435124330959877,0.04026033920650609,0.02434093924220546,0.5002201534813334
