name,a,b,p,q,RMS,std_dev_abs_diff,max_abs_difference
job_04514,1.0563118527246098,-0.02844132813365835,0.7131159002519112,0.42824284262835927,0.06293222437223958,0.05328637245620636,0.8675005074750988
job_04515,0.6770444563541608,0.3841332023621073,0.48493498888363207,0.2520364304719388,0.08457212164286168,0.059244049639247814,0.9179645515991
job_04517,1.1347147606158383,-0.03499763971732305,0.7267746866302137,0.4393018041620696,0.07665421669738157,0.0635538252058166,0.9449438906761523
job_04518,1.370275574528739,-0.022101568903528462,0.7139086180447316,0.43108793219690306,0.1204072421467291,0.09598997202444204,1.1944135596233063
job_04525,1.1575104529168798,-0.03389087203421304,0.7228746510109725,0.43748989039656067,0.07820166408273903,0.06464171897252524,0.9678907302482638
job_04526,1.1592242141127342,-0.033070420200991296,0.7226965103936116,0.4363620384221992,0.07706090363114033,0.06473733388212002,0.9697970679367092
job_04527,-0.43621914461133743,0.9994185104741222,0.3727742837955691,0.17312288626338349,0.038564467267351174,0.029929831327617097,0.4974147648405678
job_04528,1.0247810492673386,-0.03411373737101629,0.7182283793130185,0.43372814865290654,0.06288498424024073,0.04989609828254917,0.831188014876509
job_04529,1.1968974560973744,-0.026884208053626974,0.7168448655005716,0.4317091254202775,0.08344694189321158,0.06820135054152954,1.0135315690629074
job_04530,1.045392542720162,-0.03277663675151361,0.7244035977337666,0.43361890017446614,0.06264031767378726,0.053159608627983364,0.8541356713188173
job_04531,1.1325648884903001,-0.026382593818854598,0.7086983968348554,0.4249502099349331,0.07260770511732804,0.05996099435517668,0.9437332204059949
job_04534,1.1130363089574578,-0.026168668156987453,0.7069825299460539,0.42533748042395636,0.07310568120950965,0.05836975089394185,0.9253055318270629
job_04535,1.0735160183175831,-0.0402991969512461,0.7369207995531568,0.4500454874069536,0.07109294809261515,0.05818222548409621,0.8844561034226508
job_04536,1.1636252866422379,-0.028759851982757396,0.7229541141356216,0.43471897041549007,0.08114362421631464,0.06750558589597332,0.9798529870846182
