name,a,b,c,d,p,RMS,std_dev_abs_diff,max_abs_difference
job_01928,-4.650132737714916,0.0053902590095483505,2.8012943544897553,7.812995583719714,1.0116330670255191,0.03749938792941395,0.027563313192689006,0.27023223091713633
job_01929,0.4375525206817136,0.5881964646235941,0.6360906019468887,0.11444446128114122,0.4573381591570877,0.052303735766700506,0.034194479491889626,0.2716123054213728
job_01930,0.35649924881520173,0.5239200884830213,0.6988364177666024,0.3988782894766676,0.4433825038976218,0.028469351509369238,0.0206297424202945,0.24694175758883863
job_01931,-1.023653522463972,0.04840340478189156,1.7215128031110152,2.3454835251204473,0.7283077254901074,0.03197892799195108,0.02040086405438512,0.2585319158979664
job_01932,0.1372222098200811,0.6330695560009001,0.5645812097006946,1.5088009972571221,0.4575883582750837,0.06588444162844984,0.03767852593459621,0.22712573165375116
job_01933,-6.136630631270566,0.00014893745868608028,3.1147448877787074,10.931145307911667,1.4388606158550645,0.041019087419201516,0.029101123013123335,0.3484749104009337
job_01934,0.11775463459591562,0.425999914812341,0.9279345464149247,0.7988629984966479,0.46774909456646474,0.04592018831447362,0.03384758322905964,0.2734442296065953
job_01935,-0.5857786679426804,0.8734700674460433,0.7236720934746882,2.901671133791518,0.3865082729580781,0.04257620099266943,0.02396634099683885,0.2185058013810528
job_01936,-0.7088581214114856,0.03857972180046914,1.5820804687044763,2.166781260974643,0.7751840559578378,0.020362370254024726,0.013847923389077593,0.20853940948180116
job_01937,0.30840058868682657,0.45874190546561133,0.7629484253871256,0.6685593097472585,0.46670491140886533,0.02949452053163317,0.02158389198027912,0.20603574462459795
job_01938,-2.3257630797985933,0.023340466900596043,2.107628989041383,4.541119112482504,0.8080018272467899,0.035802499952934726,0.025977101267122514,0.18548648885979868
job_01939,-6.320341184940111,0.0011010381067549555,3.2593098881583953,9.630288939180113,1.1760718882021892,0.03197100933092146,0.022246604210162956,0.19119122353401852
job_01940,-3.658865586292297,0.00427263431544601,2.5260301281325415,6.4777091653030805,1.0342727043048983,0.0423674810151011,0.02789590067296677,0.2609636277580536
job_01941,-3.3085706963839883,0.002414065783826249,2.503847271793372,4.93446069863489,1.1358687840734794,0.05340438101406586,0.02646285300083782,0.2092951108022545
job_01943,-7.025313784533464,0.000226105722304164,3.45443404600245,10.716068917309185,1.4065936896639435,0.029151687888684476,0.019698750181124946,0.2650301288425385
job_01944,-2.0172414879500247,0.0056553684618706095,2.052622177815582,3.9864336196264727,1.0374638920236134,0.03246311454479501,0.019353348974026297,0.17932567307181113
job_01945,-2.6069902642533185,0.021862427329341665,2.281075022216884,4.011967586525313,0.8227669814290992,0.02573534498929551,0.01987464369084914,0.2707659461682401
job_01946,-0.3467913481182127,0.05421251924579012,1.4040835702696175,1.8347113509668536,0.7209599273390235,0.023514315114233117,0.01817612874466787,0.19127783113088026
job_01947,-0.9745819491165232,0.09144886491199496,1.5871204411865036,2.677163403632505,0.6336686963456158,0.035757853768478495,0.02478284878523714,0.17886746889688432
job_01948,0.5111364197056506,0.4109909971815841,0.7904928995831548,0.1816888609265803,0.4908477504820121,0.051345044529549286,0.03848459241175612,0.30779402005103496
job_01950,-0.532331012551765,0.11529366934152475,1.4182494046155825,2.094063585346579,0.6190874027801957,0.03763013705188272,0.026368240995133,0.17736548454066248
job_01951,-1.4476545677662538,0.009115236064434672,1.8312241709962103,3.5080986140041537,0.9552927780128736,0.04921412907646032,0.029481629914335176,0.20641999064338057
job_01952,0.11924796175810319,1.1428196612410655,0.28336958518842753,-0.22591008747813632,0.36275591639015525,0.03451575289035563,0.02548923963170776,0.2635490673510661
job_01953,-0.24173078098993822,0.2204093302004658,1.2014638843786867,1.7412176034619837,0.5360489983493444,0.043231164717824115,0.02552959419324311,0.17521669380163507
job_01954,-1.0656013891969578,0.02234371407580807,1.8362467294052367,1.9532314099018613,0.8918809223082139,0.058199429196519624,0.03129581181485859,0.41650615789169865
job_01955,-0.053277820479932576,1.014181717928164,0.4601863327441403,0.5435014575811874,0.37551950913177196,0.020627626315132097,0.016800116977702055,0.20394995422399687
job_01956,0.16503248158079967,0.3554325673962058,1.0267734657126681,0.5676116436410971,0.49256572656798375,0.0486377450918055,0.03448741262717523,0.3797256384330281
job_01957,-1.3989133102570839,0.07325911453124896,1.8615780690332193,2.5840728900331786,0.6673946649463102,0.026754953701882193,0.021288364084414743,0.3114801023694749
job_01958,-1.1258639720336727,0.01009118114899167,1.838989449325039,2.322822168967954,0.9712252392676006,0.033212714891014856,0.018875302976806153,0.269707644930574
