name,a,b,c,d,p,RMS,std_dev_abs_diff,max_abs_difference
job_00896,0.18704770791596848,1.1217510914900692,2.5670700396856714,-1.9780127064614608,0.33849297067108824,0.02995390709964549,0.02390185577774735,0.35438179533120273
job_00897,1.0964932889361614,0.7972923545959539,2.262946749062807,-2.2425143700010604,0.3898659268751502,0.07639009054590634,0.05451377355728152,0.7081996948990739
job_00898,0.1647037733451303,1.1689306147524492,2.5330471627088915,-2.0145662258122163,0.33705681281683436,0.03538946894755655,0.0270022892593601,0.3909471608514492
job_00900,-1.7620442861842651,2.0826342460218084,2.890017137765439,-0.698789190843644,0.2888294890312942,0.10383750058894564,0.056533587815078036,0.5121010168345383
job_00901,0.2081160505048041,1.217451943188623,2.4199684174796454,-2.041904039231712,0.34007216228298376,0.06004680290734296,0.04729747703514721,0.48291699161271895
job_00902,0.12774768372452608,1.1744117674329164,2.4261712767196224,-1.92574994255431,0.3471379649188021,0.052910534755005297,0.03282064813151649,0.3704449652035735
job_00903,0.29206369227904677,1.0725448998922167,2.472968516895204,-1.9514065327550951,0.34290074974224233,0.03629172750145379,0.025415334571884787,0.36630804881143275
job_00906,-0.11016172851277758,1.2083402797359621,2.786159198773949,-1.5998989367123708,0.3283394921375056,0.033781928860589054,0.026425398440408258,0.302433154109391
job_00907,0.43616215938237723,1.0752221868811538,2.386057488445149,-2.0988499311614106,0.34851663140544187,0.04647819914112567,0.03444030972093616,0.4670396235843173
job_00908,0.9253571191399357,0.8162987331009688,2.29222233215378,-2.2141710975947118,0.3830840433075986,0.04551493372834977,0.03870220520458899,0.5742681899447033
job_00909,0.9613918093821164,0.8673209076896271,2.2068450544666476,-2.162662863011826,0.3832848329676136,0.07853969144783682,0.04971324905068421,0.6571528057534564
job_00911,-0.26467631133911224,1.238979510688128,2.7434531916395786,-1.4198609852664856,0.34275095431960056,0.026439721183065965,0.02166392875359523,0.2666098006399027
job_00912,0.5867715015070872,0.9867286174136398,2.364404063839722,-2.168380321507409,0.3667102983316561,0.07176846198522648,0.04517801080309802,0.4974175925187616
job_00913,-0.055451964915940385,1.27347776588934,2.599434070945193,-1.9534271688954703,0.3304267874976102,0.046471556665868795,0.03289539483536834,0.3659919348770604
job_00914,3.8607943357905943,0.8911032928862709,0.24033200041392422,-3.6008370802112624,0.5091008081747443,0.13791170078289022,0.07698636016141285,0.8472028815934287
job_00915,0.5011715143339689,1.0435889840909855,2.448645547702468,-2.2177257750459076,0.35297158443876286,0.057614713666008996,0.0425648507538501,0.49911046097148404
job_00917,0.1932298482140288,1.1781553887370169,2.4705483598950337,-2.020782024308004,0.3380990910307679,0.044814701481821595,0.03408939212334522,0.4156246303176061
job_00918,3.1658037915408617,0.6915168377156448,0.4054296813776331,-3.6367981496440533,0.5138569725537502,0.057048796156643294,0.03870738668469606,0.5404839871926823
job_00919,0.20563822584226982,1.277491994226739,2.3064283563416406,-2.042549850634275,0.34461308620665293,0.07934077005971975,0.060776757155046345,0.5826769784504302
job_00920,0.4680591000539772,0.9285966449841433,2.4927982655876972,-2.0363623829719115,0.3836308510565739,0.04178058321831976,0.0315561884852795,0.3859480818924228
job_00921,0.616053049266505,1.0040226074058065,2.393856325322649,-2.223630282690734,0.35823069043330097,0.056505319662417675,0.03792665384329825,0.5377102247778975
job_00923,3.408663369472716,0.7669530084993507,0.3923296908093984,-3.919459279935395,0.5094237909918624,0.05303264109458612,0.04209080336229546,0.5894837424323369
