name,t,|M|,RMS,std_dev_abs_diff,max_abs_difference
job_02445,0.7319575815451196,368,0.1377983757809942,0.0605526757940363,0.7127443450247488
job_02446,0.8053279056765784,184,0.8793893344132989,0.1709657021740551,1.1018315987189595
job_02447,0.7218380934726197,368,0.20350048096180381,0.07283128660287105,0.7699345553785666
job_02448,0.723363533533946,368,0.08947574783363946,0.04056152329858584,0.5720984243785769
job_02449,0.7695258812835368,368,0.33306957697774825,0.09440379688698583,0.7098139056026471
job_02450,0.7213620904414827,736,0.10680603455186878,0.07852107976092122,0.8166798750775766
job_02451,0.719752396135411,736,0.1470066317894417,0.08027928762753674,0.8157888798693835
job_02452,0.7323924990440378,736,0.104626146835752,0.06102715902112592,0.702487806739128
job_02453,0.74977565320586,184,0.28953133906262024,0.06769311142207958,0.7187263868364184
job_02454,0.7359380266604366,368,0.19851036582851603,0.07788021536508329,0.7699557412039573
job_02455,0.725695985981595,368,0.0875482758516765,0.043846501327766796,0.6457552868279193
job_02456,0.7865527791926928,368,0.4938540424129297,0.15500642111207819,1.0624491702642311
job_02457,0.7217592889972481,368,0.06763027374041919,0.037684140170278976,0.6248399885338081
job_02458,0.736899294873175,368,0.3960536520389829,0.19018369105520821,1.4401697121600954
job_02459,0.7266310655679353,184,0.17263341461220438,0.05597370761939529,0.7084003209447094
job_02460,0.7199410068132426,552,0.3003425773843284,0.19630711125563755,1.6135645621490466
job_02461,0.7199840784676808,368,0.15057629953338633,0.0625148652762109,0.7848282680319065
job_02462,0.7660015841205081,276,0.4082051146258926,0.10612591518773848,0.678867868572832
job_02464,0.719280946061748,368,0.1128607051323713,0.04841439703198753,0.6655332017702191
job_02465,0.7196138021139581,736,0.06450332855531977,0.043846241114595084,0.5987389468309261
job_02466,0.8649843958859883,368,0.6578743216892123,0.2045777604257446,1.1632542274208078
job_02467,0.7212999036005553,368,0.07885929446368282,0.03788387847461217,0.6169728659939635
job_02468,0.7657465775043407,92,0.7799107454203145,0.1177365626297831,0.7120367784468573
job_02469,0.7483460370362552,184,0.6187548327750744,0.12257999301908873,0.9295015305170593
job_02470,0.7714937214172551,92,0.7623634038766709,0.11567493202762545,0.5979954309804483
job_02472,0.7889273596833752,736,0.30305669615103475,0.13891387701891056,0.7936670956814922
job_02475,0.763116834366719,368,0.2726000233715237,0.1262302692508298,0.807507313994865
job_02476,0.8924454200380151,184,0.5178285571570007,0.10077176368739263,0.7585240169411087
job_02477,0.7560165261831978,92,0.7936493319204896,0.1450055356421541,0.7490630122793811
job_02478,0.7777155604654025,368,0.5608806747383009,0.14926952703924617,0.8031795804760045
job_02479,0.7526861179820483,368,0.4800373662275472,0.19088060933746573,1.272481605382481
job_02482,0.8160216114010552,184,0.43655653024395563,0.10165133478869405,0.82740321210147
job_02483,0.9214569903206433,368,0.9813123386326308,0.28616969692750627,1.0774924055502773
job_02484,0.82217048437504,184,0.8257218017938048,0.15869716890187235,0.7515052751155422
job_02485,0.7195533213533297,368,0.07967605550144863,0.039160971994570866,0.5445293653745626
job_02486,0.9429702929654817,184,1.976665713661154,0.3711136411994662,1.4718253337019398
job_02487,0.8016628783752067,184,0.8379130380231277,0.17451298844853072,0.8718072297486477
job_02488,0.7938809819361942,184,0.47142900681406796,0.12406933741107852,0.8673118903727681
job_02490,0.7848057460103596,184,0.6232978645541201,0.1297520784362792,0.7199752404653499
job_02491,1.1671085072144285,184,2.6095725803137806,0.7780052857274995,2.7323620925455216
job_02494,0.8454870470987983,368,0.5915137366984993,0.17049595996014302,0.7150833659177955
job_02495,0.7216396492198981,368,0.10445525959639637,0.050767057388744,0.7272959651706568
job_02496,0.8498772267692409,184,0.4595134718096656,0.09673282012454008,0.7378852886660434
job_02499,0.7331099821281567,368,0.21438330691489085,0.07648651653593183,0.7498290825531311
job_02500,0.857995767098861,368,0.7176364521291007,0.2017693330870061,0.885112430060206
job_02501,0.7837981588746075,184,0.5283027095859673,0.12309384409329575,0.8323098526436321
job_02502,0.73697312507164,368,0.2464779507678809,0.08912715777045953,0.7818978294395758
job_02503,0.7228933785083869,736,0.10353113530924164,0.059381662789826414,0.7469838068917889
job_02504,0.7224385207549244,368,0.07457512929338918,0.04146345462299646,0.639458816808522
job_02505,0.7226670446440039,368,0.11739852249109174,0.051344880935516736,0.6837268445246814
job_02506,0.8482682832817329,184,0.39140850996177706,0.08968773708664837,0.6804593916714687
job_02507,0.9823019945585778,368,1.4291730911148628,0.513017023540588,1.7329092368746544
job_02511,0.7272557182596059,368,0.246697885473263,0.09700868824453615,0.9126820944456051
job_02512,0.7200804235177011,368,0.07998206574917387,0.04398679154302859,0.5991541951876449
job_02513,0.931392324444239,368,1.1549108827628671,0.41498256634431735,1.3939359081252838
job_02515,0.7564451315498371,368,0.39126261826269965,0.11800021173426753,0.8058888262732604
job_02516,0.7785374961477317,184,0.9356496322237762,0.2109376316702846,1.3467670677612853
job_02517,0.7651140333269606,184,0.4153760893400004,0.1037645189535414,0.7371379800920312
job_02519,1.0925376397916524,184,2.6450965564612003,0.5123994358318795,1.9365117963011294
job_02520,0.7407893450866245,368,0.20254486803562746,0.07476923764737686,0.8426178432477598
job_02521,0.8105180147481784,184,0.3172979454144597,0.06336869988141113,0.5744038018840343
job_02522,0.7266954230932291,368,0.2299941018575328,0.11524300583164637,0.8831342428664466
job_02523,0.8945968103742158,184,1.7375611212702469,0.3181898514830315,1.2307284923462625
job_02525,0.7486309033204178,368,0.21037300232615644,0.06557446497894953,0.6742295131652247
job_02526,0.8017616466085064,184,0.42647752163077823,0.11803666848826497,0.9684842948126235
job_02527,0.9592743485912874,184,2.2976293194754303,0.4430474038402584,2.06203143518945
job_02528,0.7927268095512479,92,1.5994388301570972,0.2689029033701326,1.762646145403897
job_02529,0.7502981244730912,368,0.22706817789552114,0.07697599496329369,0.6495345428984243
job_02530,0.7769119634424876,368,0.8833149403917945,0.3301636217866364,1.5163295182856023
job_02531,0.7767077852396129,184,0.49846248296778756,0.1087192837584115,0.8211784609307984
job_02532,0.730917955181282,184,0.17985690068615068,0.05015665297352563,0.6062791962807164
job_02533,0.7211840829942274,368,0.06934842565930657,0.0344873296878666,0.5786748337695538
job_02534,0.7206679696514717,368,0.08284241901847085,0.043754625247496334,0.6589192663518517
job_02535,0.872970980296032,92,1.727405822536182,0.24165221275702492,1.1594579342913818
job_02536,0.7187937787284255,736,0.08362314770113725,0.05760425798026782,0.6671575465193011
job_02537,0.7214257690022213,368,0.11445942898952947,0.04577786363600342,0.6580268099587399
job_02538,0.7377912819723971,368,0.1925753684815841,0.0743007804181224,0.8188298939728778
job_02539,0.7291812359650744,368,0.17392709630530667,0.08515838903217895,0.7964100773983329
job_02540,0.814223784118471,184,0.9400967452482564,0.18820130964124815,0.8612665122874772
job_02541,0.7378436666858872,736,0.08935898348049963,0.05694903739189301,0.6943534374277864
job_02543,0.7375622216483487,368,0.26268619211468835,0.10517512200019667,1.0013340228106464
job_02544,0.73858691002134,368,0.14378779404284278,0.08010613741332766,0.8743439426553454
job_02545,0.7704382052160752,368,0.38632407598754026,0.12343735307756347,0.8915963677169141
job_02546,0.7852885043835363,92,0.9833403005876369,0.16594721714347566,1.1836362543164185
job_02547,0.7216173923921709,368,0.07678877847389656,0.04192279463957691,0.6223981364010513
job_02548,0.720473109271095,368,0.15665653205003982,0.06766844345586238,0.8177193386126451
job_02549,0.7454982548728635,276,0.5200485180786015,0.12739826488881903,0.7654809563118161
job_02550,0.7302864663359929,184,0.210837311254438,0.058749473186780074,0.7072983180712891
job_02551,0.7324827266323334,276,0.40904533888661165,0.11846147462597889,0.8476927550068754
job_02552,0.7325261225868878,736,0.09545249078472214,0.05239039134667068,0.6802329332539871
job_02553,0.7180711770452801,736,0.06128965702800337,0.045877695146256614,0.6942212176197935
job_02554,0.7251237247074948,368,0.13684986429109056,0.05816872803375091,0.7678656840191616
job_02555,0.8391010323018462,184,0.6481831569025598,0.15963573101522835,1.171794168143541
job_02557,0.719778802884389,368,0.14797802173075847,0.06133317833334995,0.7208056361926123
job_02558,0.7327920610634598,184,0.39682541952264033,0.10021434243228564,0.9261592384775805
job_02559,0.7507097082037817,184,0.4104220740531549,0.13174772699671397,0.9899853920557333
job_02560,0.7185343191896963,736,0.05058022141569628,0.0378939761904214,0.6187094088261871
job_02561,0.7255902984373109,368,0.15043467753897533,0.06646157690271245,0.8026571213440166
job_02562,0.7355379190695953,552,0.20555519233350095,0.10716974425181422,0.7307183961833006
job_02563,0.7181826687267769,736,0.09462284923954639,0.06405490106952474,0.7565532996363882
job_02564,0.7206780641632826,368,0.09076537016011996,0.04208498036928225,0.6433648301966184
job_02565,0.7187031115021202,368,0.09859227583972645,0.049938167596362104,0.7103143685129683
job_02566,0.7375408230680742,368,0.28737717328168144,0.11421474513119334,1.101700331097304
job_02567,0.8410494453887886,736,0.4610881269582379,0.18470878906954483,0.7754252265702666
job_02568,0.763179079344053,368,0.2259234908235376,0.11234380317350501,0.9941354042495136
job_02569,0.8292117769336637,736,0.5993263259873931,0.24446091053868252,0.931592984696324
job_02571,0.7471503494468626,184,0.28383945941246963,0.062181031797665105,0.57121577438875
job_02572,0.7225163760408675,368,0.11299976925871559,0.04907969510645214,0.6421889768815632
job_02573,0.7203521325984685,276,0.10273890362606526,0.04540884080220842,0.6606063753665874
job_02575,0.7326358397582451,184,0.17031101503237708,0.055455821911665336,0.7026989842307649
job_02577,0.74735240193816,184,0.3568247729454273,0.08312033338231488,0.7350065500733791
job_02578,0.7322603640882087,736,0.09621195648678238,0.04687867079849993,0.5850988423920727
job_02579,0.8326824108065813,92,1.85140475834489,0.3022538036637325,1.4415252094302318
job_02580,0.7345879977433483,736,0.15238941083811658,0.09398734846097274,0.8411971539529577
job_02581,0.7667151365599691,92,1.0038575635359228,0.171384619168486,0.7987733094676448
job_02582,0.744415108369623,184,0.34017299941006873,0.08196803153948287,0.6532854371834891
job_02583,0.7220368001126318,368,0.10313661005396556,0.04394207127955261,0.6256855675879991
job_02584,0.7152527623235992,368,0.20861788291074707,0.08507887250428979,0.8732260057367822
job_02585,0.7588110646272689,368,0.30540763877607036,0.09032867869889047,0.7438426859874883
job_02586,0.8201551445053044,92,1.7730793795697304,0.2914623843182073,1.350907168658015
job_02587,0.7461602081684798,184,0.38953601278533645,0.1027374194023563,0.9294824851987482
job_02588,0.8289916264599062,368,0.5909008560480788,0.16411063231660694,0.833610529918466
job_02589,0.7198124404804455,368,0.0590480129711098,0.03239954777673254,0.5731925865186547
job_02590,0.7238537002500557,368,0.1018009361878663,0.04582203050032263,0.6037884359488495
job_02591,0.8196888767011079,184,0.3718219014783642,0.08266724619128855,0.729608711682693
job_02592,0.7713165894267976,368,0.18275729135755497,0.09631309729573641,0.8401548663772971
