name,a,b,c,d,p,q,RMS,std_dev_abs_diff,max_abs_difference
job_03970,-6.198714772033355,0.006417954002088517,3.0515532533862655,12.32039328148423,1.0094719069913738,1.0,0.059866465513672265,0.03594408958191702,0.4489580631639978
job_03971,1.3376758396390818,1.0086411568692755,0.03512449802952087,-12.977694983359708,0.4007133252840516,1.0,0.0469626753412077,0.035266649409431146,0.5344668778239814
job_03972,0.8609930071415026,1.2260921803992513,0.035716068966199305,-8.999405832533569,0.3739274739102454,1.0,0.04343946094780649,0.026398261598824663,0.30400191110841357
job_03973,-1.2008897624470503,2.246024732171496,-0.011982635568722083,-55.99463880093996,0.30131883572008095,1.0,0.031290029356377036,0.025991968454728998,0.2993982812734235
job_03974,-1.305291531516899,0.034433617223025174,1.8719221826838885,2.639750779657114,0.7741586960385788,1.0,0.0537058999605563,0.03585117323333596,0.21464317047204529
job_03975,1.0482076815692063,1.1902838564576035,0.0386386238515142,-11.999310309712252,0.3769732587765522,1.0,0.045321511261331125,0.0344380270789196,0.394067840299664
job_03976,-0.5696649626201623,0.1394613491273197,1.4351244158787706,2.0864433153946966,0.598217395720613,1.0,0.040239413866640206,0.028064664400424592,0.17522055918896196
job_03977,-0.04338267963851916,1.7543246318353871,0.02409901934905344,-10.998526998890227,0.3369211657919414,1.0,0.029792599444027148,0.021388306179342936,0.2405411636752821
job_03978,-2.397724377184941,0.02044306223152037,2.346475167989547,2.9559920284683754,0.8471170996036383,1.0,0.08958867656149863,0.04793346855618253,0.5125549876408819
job_03979,6420.358288018608,-6465.46740067892,8.559154995451985,212.7553669671374,-0.00016762101201440424,1.0,0.08651508646128983,0.048709414323724505,0.5527121979484761
job_03980,13.295035827521327,2.399237986235781,-3.463958632688547,70.44359570371522,0.36376352517090393,1.0,0.030124618503268363,0.02318082101965468,0.4548278302214066
job_03981,0.16252015553530763,1.5510020683537296,0.01900816376055548,-9.994034231879692,0.34059749192687133,1.0,0.029486902040197903,0.023148119415698058,0.288351158327101
job_03982,-0.789280447997057,0.16020095487836855,1.3913067457591275,3.0384036837399178,0.5632765940178438,1.0,0.024134322334158794,0.018093298738483362,0.2093031545203936
job_03983,-9.19015979028946,4.0931348957056114e-05,4.1293151604114575,11.62587125846018,1.6399404786732334,1.0,0.02399262276474075,0.01795295861726739,0.1961923561714114
job_03984,1.1495459360957332,1.0745174116486331,0.03035627078329234,-12.920743918892565,0.3908798663295773,1.0,0.042562526783700906,0.032351713207984086,0.511112285232715
job_03986,2.2726508697049623,0.6253752405594052,0.0540464621802251,-13.999752350417076,0.47009192293455415,1.0,0.0785587581944218,0.053528527457302216,0.6552566048668667
job_03987,0.15659059345524962,1.2689838521054932,-0.015944061456734562,-125.99895366811295,0.3903198231988886,1.0,0.07313304543798378,0.05132642431363543,0.6259178017339
job_03988,0.5424018320832019,1.4424667413666208,0.033539415722379604,-8.99865615988603,0.35288301334341504,1.0,0.04257751543467551,0.02496023299868997,0.27889194471172907
job_03989,2.0762178283486095,2.44376365752459,-0.8788608376450977,51.28885440456615,0.31533397503185717,1.0,0.02990875705100158,0.01722668349675737,0.3197203463392624
job_03990,-2.5509815704908188,0.008510707284175538,2.148673174509001,5.483969822996847,0.9362919992433927,1.0,0.051555842447817156,0.03666925402374001,0.3020052225772698
