name,p1,RMS,std_dev_abs_diff,max_abs_difference
job_00347,3.9616442814460076,0.035137238767932906,0.030644400250730945,0.5057568378973141
job_00348,22.148916543425617,1.9258845875652886,0.7832405653579108,3.1966038953658202
job_00349,22.764749353870858,1.9063647400665242,0.7788427033969694,3.131255562489324
job_00359,4.750884782184036,0.10036636186993943,0.06492592207479958,0.6302232850596041
job_00360,8.534295181296935,0.7616903590772325,0.33273735358488926,1.2619140471351287
job_00361,5.697857450766096,0.3406920811314252,0.15310486121735742,0.7796785729720597
job_00366,5.251682536520091,0.0737452952050929,0.05285716955023681,0.7023234719709901
job_00372,5.138155269759572,0.24876116751521343,0.12088474525144294,0.6854877833398905
job_00373,5.5616403721814605,0.09942883542512702,0.06030395559824418,0.7446775450413243
job_00375,4.959939622783952,0.2880015761130821,0.13458854747875307,0.6606054234638679
job_00377,4.475070433284284,0.06179279401608774,0.04308490128622529,0.588245553231606
job_00378,5.1744395123213405,0.09137631825829927,0.06259559957477674,0.6915734112706275
job_00380,5.872360585955708,0.09508843204476126,0.07492985222124043,0.785487467482759
job_00382,4.653800928570241,0.09642162683505519,0.05266602205959969,0.6155765462765621
job_00383,4.225113256751773,0.08670065809738839,0.057069122315569744,0.548786255959169
job_00384,4.482019290271581,0.06060255502946754,0.03950759507550514,0.5893396519868597
job_00385,4.512001757524368,0.08061194212066812,0.04957376117510758,0.5936614156771429
job_00386,3.869937000752258,0.042156901275419004,0.031228816150013695,0.4898435452264913
job_00387,4.6250771037553475,0.1324023948103325,0.06419960884819316,0.6112898919747611
job_00388,5.287457407741912,0.07106557913669408,0.051600890118530106,0.7068150249437664
job_00389,4.246855818177996,0.1540620412699385,0.07707010370161489,0.5525541536315679
job_00390,5.301570825477859,0.1138541370902006,0.06813343413497873,0.7087062334285688
job_00391,4.294993751469823,0.07731389368073217,0.049613149712200016,0.5604342049750495
job_00392,4.9723967216302665,0.06414783956165071,0.04944831111077933,0.6625727410872451
job_00394,7.357820813385765,0.6267372403724794,0.3021738236859912,1.034043459105792
job_00397,5.488886200962072,0.2720878120569443,0.14577684911039895,0.7347110884549133
job_00398,5.027255048235743,0.3269590209510575,0.15549084309295594,0.731326499815907
job_00399,4.53177934631454,0.07114888126886856,0.04721405054356698,0.5974289120901966
job_00400,4.917499398131861,0.2808011188546731,0.1276373405451936,0.6543194361186426
job_00401,5.705623368199855,0.3095211075640577,0.1623400508978296,0.7633969912283687
job_00402,5.0608189456756785,0.059045757293846056,0.05171679190975461,0.6750548721735732
job_00403,5.320461636862895,0.09970594367144502,0.06237036039688669,0.711242514146103
job_00405,5.957119125269304,0.22209923552910796,0.1226796595682781,0.7959514016035243
job_00406,4.883723442498697,0.09751571380761334,0.053328404515092596,0.6498628479403075
job_00407,6.260067676618447,0.20419423258610894,0.11158200329965419,0.834249882045317
job_00410,4.749851030586479,0.13943311617051687,0.06305309987831229,0.6300096512589621
job_00411,5.594412438921461,0.1690360204920661,0.0867157216871888,0.7486335004844902
job_00412,4.21826609809877,0.05461824362389083,0.038176400143584706,0.5481453717309379
