name,a,b,c,d,e,p,RMS,std_dev_abs_diff,max_abs_difference
job_03230,0.8419999740775485,0.006561850861683306,-847.1753731918911,3.046859877492421,2.168408980417293,0.8503108651530318,0.11687816512202542,0.1060312863435233,2.5399388204053768
job_03231,1.1776818118619832,0.028396503528582667,-73.70396096703693,1.147812234537849,1.4786314467046286,0.8223467368807291,0.08796481536249691,0.05326281350899036,1.1467016331079487
job_03232,1.6685346160857946,0.1759331069789795,-19.331224804409167,0.5270391533975988,1.3680512607695166,0.6396738171846829,0.09788282911975481,0.059004870023613674,0.8428620839701984
job_03233,-84.06619599310864,0.009804530396982057,428.0879544335009,0.03306818599051009,1.983839290713476,1.4931660457463334,0.09929414469160215,0.08771502474711594,2.0996165635367303
job_03234,5.9533069630976225,0.38856632602560526,-8.779515949039876,0.01193485787944934,1.6283187027834314,1.2678040278956995,0.08471083551174781,0.05738739815660988,1.5018745827617608
job_03235,1.3802377696849077,0.03084725148241621,-85.13435756596311,0.8539860568684113,1.483734179925244,0.8088836967827097,0.05495295921479897,0.04386097221196098,1.0957835486748013
job_03237,5.117340806467735,0.15119248826160298,-16.335284906497428,0.021003819052179164,1.6975058284992268,1.2815074054859272,0.08633285842473154,0.062163909108827915,1.6580362312535437
job_03238,1.4448294423680514,0.14592443231555416,-16.059152218663247,0.13890686001659958,1.47306827240985,0.7756712782786146,0.06185423747769934,0.04674989553084431,1.1658154944340762
job_03239,6.147729813969914,0.14323511763581592,-22.664435048621833,0.028740963858454056,1.6612495506613048,1.2162007883978427,0.0798239320145426,0.0595834393912755,1.579022720063878
job_03240,1.2069712850864238,0.11955985180085027,-19.75174490306022,0.23024395071661985,1.5652710443420463,0.74960932785339,0.07284187307149499,0.05703649589625036,1.2642269672303856
job_03242,6.39497156544836,-0.02440486768720884,145.2079972309832,-0.20241518332065525,1.5363624956856878,1.1206759326352487,0.07234309880593642,0.05279779686138181,1.4186483555590796
job_03243,5.194771150314827,0.0005387648452873429,-1506.7081649196848,1.9979355764073474,1.4717305059195303,1.252614226802429,0.0780626655536249,0.050390549282138195,1.3141167270298255
job_03244,5.437572302694144,0.03751115060179732,-75.6416553144626,0.09747113855382165,1.7396573614589226,1.164895000424589,0.07396298123074102,0.06449485658987276,1.7062451698374572
job_03245,5.102807995363571,0.03611620221116064,-76.68474631806332,0.10731691723954694,1.6099833587845485,1.1538312849417665,0.10316985460279557,0.07175575167017771,1.6498745206567607
job_03246,4.165737903412041,0.3277679263538367,-11.540495019379811,0.015470591720731834,1.9391216510528586,1.1184772316022575,0.11252085295786798,0.09420154164402689,2.242823718378995
job_03247,2.8521273940224305,0.09810612669946275,-116.6766657302108,0.6174014811069221,1.7190251395092133,0.7352614090830282,0.11091840751826698,0.08251225470819924,1.7440169910630055
job_03248,1.8653115096511297,0.015787981219356474,-197.0912311495881,1.1426563888061494,1.443263646679743,0.881223181983219,0.054169087206500904,0.04481294408313926,1.1492896893025413
job_03249,4.2647013100913735,0.6113334399730547,-20.30321215991795,0.04431042919555333,2.7085935137965325,0.8328389289115596,0.3819733084990304,0.2549236643121423,4.58723556294952
job_03250,1.764721330994756,0.27555013632805636,-9.903739301291603,0.1992115856730123,1.2540337053821102,0.6541044258695867,0.05063321877803608,0.03816329626468205,0.8156548275390427
job_03252,1.769391144376175,0.23052118495771332,-7.489179324418428,0.054009369207656824,1.365155823061222,0.8889176941619256,0.0472907608355466,0.037639329297356076,0.9645749519901372
