name,p1,p2,p3,RMS,std_dev_abs_diff,max_abs_difference
job_06772,-0.507092275007265,1.929674881304791,0.3213912571208535,0.03222427156140698,0.028018634773442873,0.416203935273997
job_06773,-0.42362241694916275,1.8926198375383267,0.31924564166118596,0.037356294175056995,0.0302049931868697,0.4497376992079902
job_06774,-1.4849242550164232,2.528761586240395,0.2945836588622371,0.02292477965035335,0.015966651432231513,0.3180526687760281
job_06775,-0.4662670235134422,1.9497727243139775,0.3261040262180734,0.04400388637069934,0.03645226357335916,0.4898437084495828
job_06776,-0.8433827858980072,2.098045412843954,0.3131570173616116,0.0216272014653881,0.019412569101010465,0.27562812860798
job_06777,-0.2219137251316874,1.7816253936569435,0.327209595236501,0.04199392629069967,0.03421749306444469,0.5251058032784621
job_06778,-0.37274609130167374,1.843762880265843,0.32362531013472384,0.033836531663036434,0.03126584702820263,0.44681040379493964
job_06779,-0.2582433692491868,1.7861806911858136,0.326951282405758,0.03812388820340815,0.03502226039344422,0.4941299674777595
job_06780,-0.5071349452554651,1.9530118371499012,0.3184971867022747,0.0347394851695094,0.03050972262624178,0.4403311177481348
job_06781,-1.3160523828027073,2.5034925755183695,0.301797857571451,0.08024895878678316,0.039020731444372514,0.3665534333936886
job_06782,-0.6683528386761648,2.0187504073205282,0.3173347761101752,0.028099443241954812,0.023672475488428282,0.3590837088892789
job_06783,-1.3457282241517836,2.433798925875488,0.30310207883159995,0.03881058630651104,0.022225004505032474,0.2737592982762955
job_06784,-0.5811824155192813,1.9190128565466724,0.32030020533103437,0.027133240067647856,0.02243593068312354,0.3271284930492204
job_06785,-0.6465797170887388,2.008777696270203,0.3154536771038952,0.026174523284179612,0.02322073650099009,0.36502909960947516
job_06786,-0.2792402513674654,1.775646614972203,0.3254355215846931,0.03237295268795453,0.02919415987063378,0.45770068985087864
job_06787,-1.5049331709271845,2.4582109417199725,0.2964906756858607,0.04375120016903544,0.02631348402958015,0.408802229207212
job_06788,-1.2279529611910591,2.3072994034099414,0.31710275548249656,0.03563060435749011,0.027252166816292736,0.28263355778111765
job_06789,-1.445191780089191,2.453235203072141,0.29867634116972197,0.02248145535741894,0.016870942121135393,0.35382657701704967
job_06791,-1.2229756616126117,2.2987299389742835,0.314939067622168,0.039217477009722224,0.030964223251136614,0.2862557226383282
job_06792,-0.666591250798083,2.081607280374985,0.3165544483618883,0.03976759010516003,0.033671411946590325,0.43753410090330114
job_06793,-0.6834716634965746,2.034857189958676,0.3174884666408789,0.028091619648503582,0.02391628258532451,0.3643344825248356
job_06794,-0.6023680810236807,1.929599717331174,0.322542867585433,0.027727052906207524,0.023478255721394697,0.3226296051575517
job_06795,-0.46822433126851193,1.8434223800781206,0.3294108559267651,0.02538924441163772,0.022627453228116618,0.36017618585038225
job_06796,-0.5055409524590226,1.919221422610636,0.31950739335854006,0.028249557348384677,0.02440859151780635,0.40164386809010044
job_06797,-0.25572732489072425,1.7623424202216325,0.32487922815419107,0.03607108113529196,0.028828368244769,0.4636115552746334
job_06798,-0.9054182932879651,2.129221777522748,0.3113435038589597,0.019023930524131972,0.016887048008117488,0.24862361257419363
job_06799,-0.6002412300367854,1.98927061923249,0.3192865320237031,0.03074512428799586,0.02333510879739908,0.39387828677625536
job_06800,-0.5073724952589752,1.941491967458586,0.3209916572890559,0.03319196929710277,0.029715561341670582,0.4303177236467044
job_06801,-0.420265772135035,1.9187384124139555,0.32368105140411324,0.044502325419102956,0.03753421826335146,0.49348323492695645
job_06802,-0.34300707011803233,1.8293444473867457,0.3241108093751466,0.03234572657129652,0.02749802781431508,0.4595157234932763
job_06803,-0.3087053781222189,1.760877398204785,0.32675686820394234,0.02629865047596901,0.023720836393375272,0.41184089477872265
job_06804,-0.606249044311869,2.0029420669920555,0.3169249276491017,0.0335091570165853,0.023949711683301494,0.4008709955677825
job_06805,-1.351307648698037,2.4567620381470627,0.3015382482533915,0.035752361031927235,0.022773313860034772,0.25642561055097435
job_06806,-1.060560293080161,2.1846610292748174,0.3113271922402376,0.02890645566127605,0.020424285733595577,0.23808926380534357
job_06807,-0.6832127598174762,2.0532026328576887,0.31641255368090865,0.03337675603808103,0.02646881613549224,0.38555731120812187
job_06808,-0.48622668847200606,1.91055314379382,0.3198190976118153,0.028329449145126532,0.025015849755465204,0.4107061248692756
job_06809,-0.8526265190373098,2.0276292819331627,0.31726473470865535,0.023501466302990402,0.020283450063178547,0.21912728557607952
job_06810,-0.5833552443941287,2.0041694336577813,0.31861214411631766,0.04241603323165415,0.030578777411261363,0.42819507610083307
job_06811,-0.42672126635173674,1.9044635685570641,0.322069049023311,0.04764616262283405,0.03988529361771421,0.46607079299089915
job_06812,-0.3603949804843892,1.8469358695352804,0.32197721464039614,0.033430328310061624,0.030221387273083797,0.46056346155882544
job_06813,-0.5902796415925099,1.9612714215098337,0.3165942661042465,0.031131579532321735,0.025989453665804428,0.3644125294578173
job_06814,-1.0421393963206846,2.4676672729590137,0.30834913513112705,0.16553567677966685,0.0897380304665378,0.619442166190368
job_06815,-1.3819013836939815,2.4894922627057197,0.29636198621988374,0.0337778805138954,0.020227580678542273,0.25428912098826184
job_06816,-0.22893029156323966,1.7495863444694615,0.3269820335536243,0.034763519645577376,0.02717170528281636,0.47777734483781553
job_06817,-0.7833633805086808,2.0178965165727587,0.31852938051134805,0.022674321890908965,0.018941469827458892,0.24531203489448083
job_06818,-0.6265171665651714,2.043797638339411,0.3159905310329446,0.03581735361577206,0.031062350841439042,0.4296771567558577
job_06819,-1.2348807572322738,2.4529590617235746,0.3056660584692449,0.08054526881364502,0.04173375988221613,0.34949471394725995
job_06820,-0.36486259648134794,1.8335673104167773,0.32323934170184687,0.02998345765968743,0.026955901876292272,0.44098062043181363
