name,p1,p2,RMS,std_dev_abs_diff,max_abs_difference
job_03038,1.9626247102170757,0.33786942140263776,0.23212115585806944,0.135919027776752,0.9924091905886976
job_03039,1.7076835938484176,0.3340992168982431,0.07901077283167486,0.05041522293716871,0.6648490012473307
job_03040,1.7144324974807565,0.33412102253075465,0.06849361811375561,0.05482834818937417,0.6735192679095834
job_03041,1.7019323839543168,0.343099541993237,0.09932565875692419,0.05824073779158871,0.6709753486795831
job_03042,1.332860575406493,0.38817863653137247,0.08842024700224287,0.06446551633434598,0.3732985332186223
job_03043,1.497806113784108,0.3621307144028043,0.11465165653014632,0.07552277624255899,0.4372643300385266
job_03044,1.5839916418849576,0.3483449825006621,0.10800184942157974,0.06249952982951945,0.5286986933140616
job_03045,1.4671457385706792,0.3689248507266946,0.06277146099392544,0.04073743649477076,0.40657745369887244
job_03046,2.1644051888866853,0.33952636453864166,0.23525604458808583,0.17814657761122676,1.3874958355709865
job_03047,1.729453649221606,0.3386389248922136,0.08136275011172181,0.05649525862110742,0.6990731126610479
job_03048,1.5877042709948725,0.3658141961153565,0.21248432012554822,0.09685386068522149,0.5582294740937928
job_03049,1.3195947333170386,0.40370127716598614,0.2097016691829125,0.13530576807027397,0.7000221559114914
job_03053,1.9106803243596937,0.3465879002796076,0.14739877894446393,0.1184860051647009,0.942336690816084
job_03054,1.3536519065846435,0.4126012787175464,0.0968619750822174,0.04219474298214413,0.3145039713084732
job_03056,1.7350320688026604,0.33995900565618203,0.05809468083729397,0.04770674403791783,0.7082658794883256
job_03057,1.7280523900777691,0.33505423498513354,0.07099322285095463,0.05715226763643961,0.6920181897329303
job_03058,1.699256782999307,0.3406955959568966,0.05343434652373837,0.04626305362263823,0.6639327589293305
job_03059,1.950319600010231,0.3329729100041222,0.12338246566162865,0.10860860443084523,0.9685149091148271
job_03061,1.6235426308516594,0.34144220433187167,0.08319369201857993,0.051609354154813526,0.5691051285533903
job_03062,1.7160313749357325,0.34811153357391994,0.09294184009653435,0.057466811163525006,0.6959849046376991
job_03063,1.599727697239123,0.3333277083345603,0.03827989431920123,0.029218152262654805,0.5275327414095994
job_03064,1.2855108138862734,0.41408875044350285,0.28379148149106714,0.14813723545043092,0.6752653436333214
job_03065,1.7584377679930066,0.336596235924787,0.06510150063626169,0.055294642188632455,0.7327591467420558
job_03066,1.7048048836964447,0.33214837596047786,0.04755551701714582,0.04348307581523025,0.6582760898109452
job_03067,2.075417187640817,0.3388907253724547,0.20131209514780793,0.15014114760200634,1.2031069665540906
job_03069,1.673439895063214,0.337861692922464,0.07211726292646016,0.049352819175816603,0.6274304407515681
job_03071,1.5910344354298005,0.34130132363342,0.06728969673297701,0.03769019272337434,0.527389668941497
job_03072,1.6730941344507368,0.33421575837240514,0.04196803269566916,0.03863831406136534,0.6213662514657765
job_03073,1.3606377681827329,0.386003333020821,0.2609048831531598,0.14060797644328227,0.599499150152984
job_03075,1.9037937443750854,0.3306073289096898,0.10566038406289606,0.08707242397982774,0.9060218279334875
job_03076,1.5875621496785608,0.34191058428336146,0.07747249986347358,0.0411603613257833,0.524090192048914
job_03077,1.8992322626132057,0.3314733558577803,0.0911488690520277,0.07599122531709102,0.9018496984416466
job_03078,1.871104724213096,0.3363777319380556,0.11502571223547015,0.08375632924768166,0.8744241984121919
job_03079,1.6458650586873627,0.34542199567853077,0.07769242382163657,0.04470423670099348,0.6028386919578632
job_03080,1.4627804920411227,0.3771256793939548,0.231445628921605,0.1127556665560652,0.4776684610035531
