name,a,b,RMS,std_dev_abs_diff,max_abs_difference
job_04616,-0.06583771084523637,1.312510870549678,0.033888255033910165,0.02681513338382995,0.33910052822883907
job_04617,-0.28541150774782503,1.3982264967218347,0.11119003929264372,0.06453072379923351,0.27213062182095893
job_04618,-2.573332011787846,1.8930125610855997,0.42625389443162304,0.2403768887457635,2.042439450702246
job_04619,0.04715762007501519,1.2356725506290267,0.031664473231359916,0.024297064262813698,0.3412558252603881
job_04620,-0.528710517385837,1.4636978595497283,0.16569888533505797,0.08755216476244923,0.42733265783610863
job_04622,-0.5290172512233935,1.3954442190606304,0.1519275674725097,0.08700291810102254,0.4957330321627631
job_04623,-0.5504624198593,1.4761063397118581,0.05939980802376586,0.03498279507199929,0.43626608014744184
job_04625,-0.3890961311905352,1.3687201553298818,0.07759747826578868,0.048640300381225514,0.3822559758606534
job_04626,-1.191559720001938,1.5105518348259797,0.3068664820830104,0.155354321420521,1.0428178851759584
job_04627,-1.4260939249490447,1.5751571990559274,0.29610770542208936,0.14926954919695845,1.2130467258931172
job_04629,-0.198834930399995,1.3480402369225792,0.06300636198558984,0.041700826404986166,0.25751552205869177
job_04632,-0.0727363572121782,1.3239695718366213,0.03285978720363417,0.026358727461335645,0.34216818886927225
job_04634,-0.8199389018379337,1.4826506737255527,0.0893124052886333,0.056691438470104716,0.699168228112381
job_04636,-0.016385775182560146,1.313838686960823,0.050727354841009355,0.041309806110467466,0.39031750653993624
job_04638,-0.005433778252294408,1.3891213479018647,0.06564840595807994,0.0534495304643862,0.5099758888640178
job_04641,-0.22938211871035588,1.3553231625493163,0.09089966892849236,0.046407316920054474,0.2397734233177573
job_04643,-0.33608871873886725,1.4306683271380565,0.11583966402032353,0.05941832060447804,0.2674103916008108
job_04646,-0.026216767880732364,1.3288835027506822,0.047025475670095025,0.037019998449941346,0.4023048929500428
job_04647,-0.021291609801553313,1.3158833015909912,0.03750765279314519,0.03169094771850541,0.3884305164927475
job_04648,-0.24734447402060097,1.348892449318261,0.07424831160807147,0.04138053050196788,0.26084202470233997
job_04651,-2.3830860549848834,1.713762108573764,0.5309377886386731,0.276390894186704,2.031433946411119
job_04660,-0.7039919239652527,1.5648390290290188,0.08857099823830893,0.04709000458762789,0.5012728949362338
job_04663,-0.1691120253001237,1.3318858920764178,0.05525504801689599,0.027955701658242096,0.2638698302455891
job_04665,-1.195842160841337,1.519259433855382,0.2222687408901423,0.12181864545506817,1.038692726985955
