name,a,b,p,RMS,std_dev_abs_diff,max_abs_difference
job_02019,-1.7678800467478624,2.24448468869731,0.2973095565203641,0.07383614536382838,0.04581861632656817,0.8855453580505521
job_02020,0.16705153677194873,1.2550234218389524,0.34552782822111006,0.07655236089178856,0.042147580517710136,0.5131410633691866
job_02021,0.7656951131346587,0.9466919788809246,0.3791619939344965,0.11510882263530298,0.06973396300255616,0.7135645245060203
job_02022,0.7464278381715267,0.9713585872774101,0.3696362824023252,0.08036112797961491,0.049749457146876716,0.7162020658121835
job_02023,1.3208094950415885,0.6994658725075394,0.41865480568159574,0.09566466002738076,0.07235897300986471,0.9405079489358339
job_02024,-0.9825251645277148,1.8816054734118353,0.31472879017652894,0.13877664058033817,0.07427154032550384,0.4625996911158795
job_02025,2.8699834032023457,0.26703528023058637,0.5476456758926674,0.21579803988963095,0.14910175001099132,1.8688170421779051
job_02026,-0.8997453774874363,1.8546295456181205,0.3069016136407446,0.04496917121257589,0.03226994649828308,0.40714583186931586
job_02027,-0.639154167161631,1.7423785930633438,0.3140766211259713,0.10232957446969834,0.054056635025235826,0.43750038865393126
job_02028,0.20232412976350175,1.243330242449417,0.34753772818845374,0.08074134140302551,0.04887703444527899,0.5357691060413399
job_02029,0.19568745309474245,1.1733777733006499,0.3673059657951493,0.046368811358478465,0.03753572898190283,0.4641759495857529
job_02031,0.7181793659528201,1.0107304008007787,0.37552257874986855,0.082929136641078,0.05670948529196336,0.7576601608501203
job_02032,0.19172103515491554,1.1825501547687445,0.35937259708899205,0.05608640015916365,0.036404034833976716,0.45820832407260825
job_02033,2.6549417166763125,0.3274262212479438,0.5462124508586705,0.2224016584681753,0.1483381022898448,1.763406361605829
job_02034,-0.19154990791704501,1.4207241107005384,0.3271781937870055,0.04035941352471662,0.027354472494559925,0.35587974285798407
job_02035,0.3902228301438701,1.144073597932809,0.34929138002886695,0.047770954943916075,0.039357440218320584,0.5813655627144043
